QUOTA,CATEGORY,STATE,INSTITUTE,COURSE,FEE,BEDS,BOND YEARS,BOND PENALTY,STIPEND YEAR 1,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2024 6,CR 2024 7,CR 2025 1
AI,Open,Odisha,"SCB, Cuttack",MBBS,"₹ 22,000",2106,2,"₹ 25,00,000","₹42,075",3202,4573,6760,19863,-,-,3208,4969,5174,-,-,-,-,2618
AI,EWS,Odisha,"SCB, Cuttack",MBBS,"₹ 22,000",2106,2,"₹ 25,00,000","₹42,075",5549,5549,8735,-,-,-,6574,6945,6945,-,-,-,-,4961
AI,SC,Odisha,"SCB, Cuttack",MBBS,"₹ 22,000",2106,2,"₹ 25,00,000","₹42,075",36778,56468,56468,-,-,-,32058,33817,33817,-,-,-,-,34846
AI,ST,Odisha,"SCB, Cuttack",MBBS,"₹ 22,000",2106,2,"₹ 25,00,000","₹42,075",69125,69125,69125,-,-,-,60909,60909,60909,-,-,-,-,91819
AI,Open-PwD,Odisha,"SCB, Cuttack",MBBS,"₹ 22,000",2106,2,"₹ 25,00,000","₹42,075",176169,176169,176169,-,-,-,262150,262150,262150,-,-,-,-,-
AI,SC-PwD,Odisha,"SCB, Cuttack",MBBS,"₹ 22,000",2106,2,"₹ 25,00,000","₹42,075",-,-,-,-,-,-,743412,743412,743412,-,-,-,-,-
AI,OBC-PwD,Odisha,"SCB, Cuttack",MBBS,"₹ 22,000",2106,2,"₹ 25,00,000","₹42,075",331864,331864,331864,-,-,-,-,-,-,-,-,-,-,-
AI,EWS-PwD,Odisha,"SCB, Cuttack",MBBS,"₹ 22,000",2106,2,"₹ 25,00,000","₹42,075",852359,852359,852359,-,-,-,-,-,-,-,-,-,-,-
AI,Open,Odisha,"Sri Jagannath Med Coll, Puri",MBBS,"₹ 22,000",Info Not Available,2,"₹ 25,00,000","₹42,075",10620,15518,16074,22914,-,-,8094,16745,18497,23183,-,-,-,8718
AI,OBC,Odisha,"Sri Jagannath Med Coll, Puri",MBBS,"₹ 22,000",Info Not Available,2,"₹ 25,00,000","₹42,075",12069,16734,18843,23400,-,-,12759,17786,19509,24273,25204,-,-,12264
AI,EWS,Odisha,"Sri Jagannath Med Coll, Puri",MBBS,"₹ 22,000",Info Not Available,2,"₹ 25,00,000","₹42,075",12196,16160,18966,24693,-,-,14049,17616,19811,-,-,-,-,14447
AI,SC,Odisha,"Sri Jagannath Med Coll, Puri",MBBS,"₹ 22,000",Info Not Available,2,"₹ 25,00,000","₹42,075",61744,80088,105193,-,-,-,53254,73039,90419,-,-,-,-,59986
AI,ST,Odisha,"Sri Jagannath Med Coll, Puri",MBBS,"₹ 22,000",Info Not Available,2,"₹ 25,00,000","₹42,075",111456,124606,140234,-,-,-,87766,108085,108085,-,-,-,-,93818
AI,Open-PwD,Odisha,"Sri Jagannath Med Coll, Puri",MBBS,"₹ 22,000",Info Not Available,2,"₹ 25,00,000","₹42,075",-,-,-,-,-,-,573424,897947,897947,-,-,-,-,-
AI,Open,Odisha,"VIMSAR, Burla",MBBS,"₹ 22,000",1071,2,"₹ 25,00,000","₹42,075",9333,13373,13999,22785,-,23610,7542,15252,16758,21173,-,-,-,7154
AI,OBC,Odisha,"VIMSAR, Burla",MBBS,"₹ 22,000",1071,2,"₹ 25,00,000","₹42,075",11339,14998,15204,-,-,-,10802,16282,16818,-,-,-,-,10506
AI,EWS,Odisha,"VIMSAR, Burla",MBBS,"₹ 22,000",1071,2,"₹ 25,00,000","₹42,075",12713,15348,17113,-,-,-,10792,17001,20172,-,-,-,-,9756
AI,SC,Odisha,"VIMSAR, Burla",MBBS,"₹ 22,000",1071,2,"₹ 25,00,000","₹42,075",54385,74587,88896,-,-,-,48654,76836,87493,-,-,-,-,48795
AI,ST,Odisha,"VIMSAR, Burla",MBBS,"₹ 22,000",1071,2,"₹ 25,00,000","₹42,075",71734,110368,137873,-,-,-,94307,124137,154362,-,-,-,-,102284
AI,Open-PwD,Odisha,"VIMSAR, Burla",MBBS,"₹ 22,000",1071,2,"₹ 25,00,000","₹42,075",-,-,-,-,-,-,355471,355471,355471,-,-,-,-,328982
AI,OBC-PwD,Odisha,"VIMSAR, Burla",MBBS,"₹ 22,000",1071,2,"₹ 25,00,000","₹42,075",590093,590093,590093,-,-,-,602112,602112,602112,-,-,-,-,-
AI,SC-PwD,Odisha,"VIMSAR, Burla",MBBS,"₹ 22,000",1071,2,"₹ 25,00,000","₹42,075",-,-,-,-,-,-,-,-,-,-,-,-,-,611853
AI,EWS-PwD,Odisha,"VIMSAR, Burla",MBBS,"₹ 22,000",1071,2,"₹ 25,00,000","₹42,075",-,-,-,-,-,-,499636,-,-,-,-,-,-,-
AI,Open,Kerala,"Academy of Med Sci, Pariyaram",MBBS,"₹ 23,150",1752,0,₹ 0,"₹27,300",5555,9824,10578,21578,-,21118,4764,9109,10218,-,-,-,-,4510
AI,OBC,Kerala,"Academy of Med Sci, Pariyaram",MBBS,"₹ 23,150",1752,0,₹ 0,"₹27,300",6542,11355,12730,-,-,-,5574,10101,11450,-,-,-,-,4799
AI,EWS,Kerala,"Academy of Med Sci, Pariyaram",MBBS,"₹ 23,150",1752,0,₹ 0,"₹27,300",-,-,20908,24974,-,-,17658,21902,25527,-,-,-,-,18568
AI,ST,Kerala,"Academy of Med Sci, Pariyaram",MBBS,"₹ 23,150",1752,0,₹ 0,"₹27,300",115467,131854,131854,-,-,-,97832,113648,113648,-,-,-,-,114542
AI,SC,Kerala,"Academy of Med Sci, Pariyaram",MBBS,"₹ 23,150",1752,0,₹ 0,"₹27,300",73483,99355,117850,-,-,-,69412,106577,123143,-,-,-,-,67550
AI,Open-PwD,Kerala,"Academy of Med Sci, Pariyaram",MBBS,"₹ 23,150",1752,0,₹ 0,"₹27,300",545148,650659,650659,-,-,-,-,-,-,-,-,-,-,-
AI,Open,Kerala,"Government Med Coll, Idukki",MBBS,"₹ 23,150",Info Not Available,0,₹ 0,"₹27,300",7928,12173,14958,22165,-,23567,6946,12696,15744,23609,-,-,-,6126
AI,OBC,Kerala,"Government Med Coll, Idukki",MBBS,"₹ 23,150",Info Not Available,0,₹ 0,"₹27,300",9106,12740,15564,-,-,-,8012,13433,16304,-,-,-,-,6769
AI,EWS,Kerala,"Government Med Coll, Idukki",MBBS,"₹ 23,150",Info Not Available,0,₹ 0,"₹27,300",17805,22543,23413,-,-,-,21109,24877,27682,28717,-,-,-,22337
AI,SC,Kerala,"Government Med Coll, Idukki",MBBS,"₹ 23,150",Info Not Available,0,₹ 0,"₹27,300",83223,111816,120907,-,-,-,79517,121615,129454,136857,-,-,-,71598
AI,ST,Kerala,"Government Med Coll, Idukki",MBBS,"₹ 23,150",Info Not Available,0,₹ 0,"₹27,300",125266,139786,149855,-,-,-,126278,148567,163064,-,-,-,-,122317
AI,Open-PwD,Kerala,"Government Med Coll, Idukki",MBBS,"₹ 23,150",Info Not Available,0,₹ 0,"₹27,300",-,-,-,-,-,-,-,-,-,-,-,-,-,376372
AI,Open,Kerala,"Government Medical Coll, Konni",MBBS,"₹ 23,150",500,0,₹ 0,"₹27,300",8339,11641,13162,-,-,-,6990,11300,12519,23512,-,-,-,5786
AI,OBC,Kerala,"Government Medical Coll, Konni",MBBS,"₹ 23,150",500,0,₹ 0,"₹27,300",9503,12759,15294,-,-,-,7989,11696,13925,-,-,-,-,6039
AI,EWS,Kerala,"Government Medical Coll, Konni",MBBS,"₹ 23,150",500,0,₹ 0,"₹27,300",19600,23728,24284,-,-,-,20083,25527,27100,-,-,-,-,22633
AI,SC,Kerala,"Government Medical Coll, Konni",MBBS,"₹ 23,150",500,0,₹ 0,"₹27,300",85932,110889,119890,-,-,-,84817,121418,129098,136327,-,-,-,74223
AI,ST,Kerala,"Government Medical Coll, Konni",MBBS,"₹ 23,150",500,0,₹ 0,"₹27,300",129975,135695,152748,-,-,-,131102,147681,162575,-,-,-,-,124805
AI,Open-PwD,Kerala,"Government Medical Coll, Konni",MBBS,"₹ 23,150",500,0,₹ 0,"₹27,300",650659,793020,793020,-,-,-,489743,697729,697729,-,-,-,-,355160
AI,OBC-PwD,Kerala,"Government Medical Coll, Konni",MBBS,"₹ 23,150",500,0,₹ 0,"₹27,300",-,-,-,-,-,-,-,-,-,-,-,-,-,414453
AI,Open,Kerala,"Govt Med Coll, Ernakulam",MBBS,"₹ 23,150",700,0,₹ 0,"₹27,300",4158,9075,9907,-,-,-,4601,8552,8928,-,-,-,-,3969
AI,OBC,Kerala,"Govt Med Coll, Ernakulam",MBBS,"₹ 23,150",700,0,₹ 0,"₹27,300",5371,10256,12339,22083,-,23498,5002,9681,10906,-,-,-,-,4577
AI,EWS,Kerala,"Govt Med Coll, Ernakulam",MBBS,"₹ 23,150",700,0,₹ 0,"₹27,300",14493,19571,22793,-,-,-,13730,21898,21898,-,-,-,-,16822
AI,ST,Kerala,"Govt Med Coll, Ernakulam",MBBS,"₹ 23,150",700,0,₹ 0,"₹27,300",110891,125266,144121,-,-,-,96760,96760,118536,-,-,-,-,111935
AI,SC,Kerala,"Govt Med Coll, Ernakulam",MBBS,"₹ 23,150",700,0,₹ 0,"₹27,300",71084,98588,117156,-,-,-,68848,105309,121348,-,-,-,-,53765
AI,EWS-PwD,Kerala,"Govt Med Coll, Ernakulam",MBBS,"₹ 23,150",700,0,₹ 0,"₹27,300",-,-,-,-,-,-,-,-,-,-,-,-,-,893562
AI,Open,Kerala,"Govt Med Coll, Kollam",MBBS,"₹ 23,150",500,0,₹ 0,"₹27,300",7504,10258,10484,-,-,-,5190,10069,11315,-,-,-,-,5000
AI,OBC,Kerala,"Govt Med Coll, Kollam",MBBS,"₹ 23,150",500,0,₹ 0,"₹27,300",8452,11758,13351,22529,-,23647,5861,10677,11794,16034,-,-,-,5734
AI,EWS,Kerala,"Govt Med Coll, Kollam",MBBS,"₹ 23,150",500,0,₹ 0,"₹27,300",15311,16328,22412,24938,-,-,17860,19322,23956,27345,-,-,-,18125
AI,SC,Kerala,"Govt Med Coll, Kollam",MBBS,"₹ 23,150",500,0,₹ 0,"₹27,300",78119,95000,115368,128139,-,-,75682,103402,125976,-,-,-,-,68567
AI,ST,Kerala,"Govt Med Coll, Kollam",MBBS,"₹ 23,150",500,0,₹ 0,"₹27,300",121426,131847,145991,-,-,-,122071,133244,147681,-,-,-,-,112318
AI,OBC-PwD,Kerala,"Govt Med Coll, Kollam",MBBS,"₹ 23,150",500,0,₹ 0,"₹27,300",734404,734404,734404,-,-,-,-,-,-,-,-,-,-,-
AI,EWS-PwD,Kerala,"Govt Med Coll, Kollam",MBBS,"₹ 23,150",500,0,₹ 0,"₹27,300",-,-,-,-,-,-,1208687,-,-,-,-,-,-,-
AI,Open,Kerala,"Govt Med Coll, Kottayam",MBBS,"₹ 23,150",2094,0,₹ 0,"₹27,300",2287,5290,6284,-,-,-,2258,5304,6192,-,-,-,-,2172
AI,OBC,Kerala,"Govt Med Coll, Kottayam",MBBS,"₹ 23,150",2094,0,₹ 0,"₹27,300",3991,6857,7594,13364,-,22715,2942,6108,7018,-,-,-,-,2835
AI,EWS,Kerala,"Govt Med Coll, Kottayam",MBBS,"₹ 23,150",2094,0,₹ 0,"₹27,300",11683,16914,20012,-,-,-,14589,17372,18774,-,-,-,-,13677
AI,Open-PwD,Kerala,"Govt Med Coll, Kottayam",MBBS,"₹ 23,150",2094,0,₹ 0,"₹27,300",-,-,-,-,-,-,47878,47878,47878,-,-,-,-,-
AI,ST,Kerala,"Govt Med Coll, Kottayam",MBBS,"₹ 23,150",2094,0,₹ 0,"₹27,300",100980,117901,132020,-,-,-,62582,62582,62582,-,-,-,-,96851
AI,SC,Kerala,"Govt Med Coll, Kottayam",MBBS,"₹ 23,150",2094,0,₹ 0,"₹27,300",51286,68833,101647,-,-,-,57772,89577,94772,-,-,-,-,47034
AI,OBC-PwD,Kerala,"Govt Med Coll, Kottayam",MBBS,"₹ 23,150",2094,0,₹ 0,"₹27,300",-,-,-,-,-,-,418497,472456,472456,-,-,-,-,319120
AI,SC-PwD,Kerala,"Govt Med Coll, Kottayam",MBBS,"₹ 23,150",2094,0,₹ 0,"₹27,300",850789,-,-,-,-,-,-,-,-,-,-,-,-,-
AI,OBC,Kerala,"Govt Med Coll, Kozhikode",MBBS,"₹ 23,150",3025,0,₹ 0,"₹27,300",1921,2231,2231,-,-,-,1449,2945,2945,-,-,-,-,1556
AI,Open,Kerala,"Govt Med Coll, Kozhikode",MBBS,"₹ 23,150",3025,0,₹ 0,"₹27,300",1391,1391,1391,-,-,-,1149,2493,3215,-,-,-,-,1173
AI,EWS,Kerala,"Govt Med Coll, Kozhikode",MBBS,"₹ 23,150",3025,0,₹ 0,"₹27,300",10352,12760,19477,-,-,-,10350,15418,18747,-,-,-,-,8702
AI,SC,Kerala,"Govt Med Coll, Kozhikode",MBBS,"₹ 23,150",3025,0,₹ 0,"₹27,300",37417,37417,37417,-,-,-,36877,43043,83186,-,-,-,-,15754
AI,ST,Kerala,"Govt Med Coll, Kozhikode",MBBS,"₹ 23,150",3025,0,₹ 0,"₹27,300",96292,110891,110891,-,-,-,34361,34361,88157,-,-,-,-,75126
AI,Open-PwD,Kerala,"Govt Med Coll, Kozhikode",MBBS,"₹ 23,150",3025,0,₹ 0,"₹27,300",191449,191449,191449,-,-,-,117982,117982,117982,-,-,-,-,143340
AI,SC-PwD,Kerala,"Govt Med Coll, Kozhikode",MBBS,"₹ 23,150",3025,0,₹ 0,"₹27,300",-,-,-,-,-,-,1062809,1062809,1062809,-,-,-,-,876255
AI,OBC-PwD,Kerala,"Govt Med Coll, Kozhikode",MBBS,"₹ 23,150",3025,0,₹ 0,"₹27,300",473196,473196,473196,-,-,-,-,-,-,-,-,-,-,-
AI,Open,Kerala,"Govt Med Coll, Manjeri",MBBS,"₹ 23,150",500,0,₹ 0,"₹27,300",5704,9609,9609,-,-,-,4435,8349,9382,-,-,-,-,4453
AI,OBC,Kerala,"Govt Med Coll, Manjeri",MBBS,"₹ 23,150",500,0,₹ 0,"₹27,300",6632,11157,12205,-,-,-,5513,9617,9617,-,-,-,-,5058
AI,EWS,Kerala,"Govt Med Coll, Manjeri",MBBS,"₹ 23,150",500,0,₹ 0,"₹27,300",15025,21800,22927,24978,-,-,18202,22725,26046,-,-,-,-,16227
AI,ST,Kerala,"Govt Med Coll, Manjeri",MBBS,"₹ 23,150",500,0,₹ 0,"₹27,300",121291,138090,144250,-,-,-,114886,114886,123405,-,-,-,-,111918
AI,SC,Kerala,"Govt Med Coll, Manjeri",MBBS,"₹ 23,150",500,0,₹ 0,"₹27,300",78814,105249,118146,-,-,-,78946,106429,124856,-,-,-,-,60586
AI,Open-PwD,Kerala,"Govt Med Coll, Manjeri",MBBS,"₹ 23,150",500,0,₹ 0,"₹27,300",-,-,-,-,-,-,449626,605829,605829,-,-,-,-,-
AI,EWS-PwD,Kerala,"Govt Med Coll, Manjeri",MBBS,"₹ 23,150",500,0,₹ 0,"₹27,300",-,-,-,-,-,-,1076270,-,-,-,-,-,-,-
AI,Open,Kerala,"Govt Med Coll, Palakkad",MBBS,"₹ 23,150",Info Not Available,0,₹ 0,"₹27,300",7403,11543,13138,-,-,-,5942,10972,13894,21812,-,-,-,5267
AI,OBC,Kerala,"Govt Med Coll, Palakkad",MBBS,"₹ 23,150",Info Not Available,0,₹ 0,"₹27,300",8872,11989,13533,22203,-,23666,6319,11337,14448,-,-,-,-,6038
AI,EWS,Kerala,"Govt Med Coll, Palakkad",MBBS,"₹ 23,150",Info Not Available,0,₹ 0,"₹27,300",15194,21907,22994,-,-,-,19227,24725,26153,-,-,-,-,18882
AI,SC,Kerala,"Govt Med Coll, Palakkad",MBBS,"₹ 23,150",Info Not Available,0,₹ 0,"₹27,300",80410,106505,118369,-,-,-,76611,110332,126038,-,-,-,-,72773
AI,ST,Kerala,"Govt Med Coll, Palakkad",MBBS,"₹ 23,150",Info Not Available,0,₹ 0,"₹27,300",126942,138594,145794,-,-,-,101082,101082,156090,-,-,-,-,123605
AI,Open,Kerala,"Govt Med Coll, Thrissur",MBBS,"₹ 23,150",1400,0,₹ 0,"₹27,300",2590,6106,7335,-,-,-,2679,6213,6544,-,-,-,-,2709
AI,OBC,Kerala,"Govt Med Coll, Thrissur",MBBS,"₹ 23,150",1400,0,₹ 0,"₹27,300",4000,6904,7705,-,-,-,3130,6649,7121,-,-,-,-,3275
AI,EWS,Kerala,"Govt Med Coll, Thrissur",MBBS,"₹ 23,150",1400,0,₹ 0,"₹27,300",12837,17672,20025,21761,-,-,16555,18774,24884,-,-,-,-,11657
AI,ST,Kerala,"Govt Med Coll, Thrissur",MBBS,"₹ 23,150",1400,0,₹ 0,"₹27,300",103769,115467,139786,-,-,-,78489,88157,96760,-,-,-,-,101571
AI,SC,Kerala,"Govt Med Coll, Thrissur",MBBS,"₹ 23,150",1400,0,₹ 0,"₹27,300",61535,84456,106650,126403,-,-,68042,98219,104047,135171,-,-,-,48613
AI,OBC-PwD,Kerala,"Govt Med Coll, Thrissur",MBBS,"₹ 23,150",1400,0,₹ 0,"₹27,300",-,-,-,-,-,-,141555,141555,141555,-,-,-,-,332382
AI,Open-PwD,Kerala,"Govt Med Coll, Thrissur",MBBS,"₹ 23,150",1400,0,₹ 0,"₹27,300",480787,480787,480787,-,-,-,-,-,-,-,-,-,-,165096
AI,Open,Kerala,"Medical College, Trivandrum",MBBS,"₹ 23,150",2126,0,₹ 0,"₹27,300",1304,1304,1304,-,-,-,1715,4242,4352,-,-,-,-,1695
AI,Open-PwD,Kerala,"Medical College, Trivandrum",MBBS,"₹ 23,150",2126,0,₹ 0,"₹27,300",247462,247462,247462,-,-,-,4725,4725,4725,-,-,-,-,158157
AI,OBC,Kerala,"Medical College, Trivandrum",MBBS,"₹ 23,150",2126,0,₹ 0,"₹27,300",2105,4090,5119,-,-,-,2060,4561,5160,-,-,-,-,2301
AI,EWS,Kerala,"Medical College, Trivandrum",MBBS,"₹ 23,150",2126,0,₹ 0,"₹27,300",10965,16771,17948,-,-,-,7203,15701,15701,-,-,-,-,8450
AI,ST,Kerala,"Medical College, Trivandrum",MBBS,"₹ 23,150",2126,0,₹ 0,"₹27,300",93021,112469,117901,-,-,-,56771,62811,62811,-,-,-,-,90752
AI,SC,Kerala,"Medical College, Trivandrum",MBBS,"₹ 23,150",2126,0,₹ 0,"₹27,300",49695,76277,76277,-,-,-,43043,57172,86251,-,-,-,-,39027
AI,OBC-PwD,Kerala,"Medical College, Trivandrum",MBBS,"₹ 23,150",2126,0,₹ 0,"₹27,300",566491,566491,566491,-,-,-,-,-,-,-,-,-,-,-
AI,Open,Kerala,"TD Med Coll, Allepey",MBBS,"₹ 23,150",1050,0,₹ 0,"₹27,300",4090,8781,9091,-,-,-,3454,7227,8464,-,-,-,-,3414
AI,OBC,Kerala,"TD Med Coll, Allepey",MBBS,"₹ 23,150",1050,0,₹ 0,"₹27,300",4948,9745,10318,22034,-,22805,4074,8069,8760,-,-,-,-,3940
AI,EWS,Kerala,"TD Med Coll, Allepey",MBBS,"₹ 23,150",1050,0,₹ 0,"₹27,300",13598,19072,20108,-,-,-,17607,21606,24771,-,-,-,-,15032
AI,ST,Kerala,"TD Med Coll, Allepey",MBBS,"₹ 23,150",1050,0,₹ 0,"₹27,300",116985,124259,125266,-,-,-,78658,78658,78658,-,-,-,-,113270
AI,SC,Kerala,"TD Med Coll, Allepey",MBBS,"₹ 23,150",1050,0,₹ 0,"₹27,300",70315,96705,113430,126277,-,-,68434,103172,114482,-,-,-,-,51931
AI,OBC-PwD,Kerala,"TD Med Coll, Allepey",MBBS,"₹ 23,150",1050,0,₹ 0,"₹27,300",-,-,-,-,-,-,454929,454929,454929,-,-,-,-,-
AI,Open-PwD,Kerala,"TD Med Coll, Allepey",MBBS,"₹ 23,150",1050,0,₹ 0,"₹27,300",318417,318417,318417,-,-,-,317227,489743,489743,-,-,-,-,-
AI,Open,Uttar Pradesh,"Auto. State Med Coll, Bijnor",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,13319,15921,15921,20504,-,-,-,12983
AI,OBC,Uttar Pradesh,"Auto. State Med Coll, Bijnor",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,15347,18232,17684,22647,-,-,-,15444
AI,EWS,Uttar Pradesh,"Auto. State Med Coll, Bijnor",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,16236,17816,18366,-,-,-,-,15651
AI,SC,Uttar Pradesh,"Auto. State Med Coll, Bijnor",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,85773,89715,89715,-,-,-,-,81689
AI,ST,Uttar Pradesh,"Auto. State Med Coll, Bijnor",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,127265,114581,132612,-,-,-,-,114632
AI,Open-PwD,Uttar Pradesh,"Auto. State Med Coll, Bijnor",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,683386,683386,683386,-,-,-,-,-
AI,Open,Uttar Pradesh,"Auto. State Med Coll, Kushinagar",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,12394,17600,19952,-,-,-,-,13983
AI,OBC,Uttar Pradesh,"Auto. State Med Coll, Kushinagar",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,14430,19272,20912,-,-,-,-,16175
AI,EWS,Uttar Pradesh,"Auto. State Med Coll, Kushinagar",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,15225,20020,21579,-,-,-,-,15370
AI,SC,Uttar Pradesh,"Auto. State Med Coll, Kushinagar",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,83287,104015,107298,134195,-,-,-,80124
AI,ST,Uttar Pradesh,"Auto. State Med Coll, Kushinagar",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,108139,120992,128692,-,-,-,-,-
AI,Open,Uttar Pradesh,"Auto. State Med Coll, Lalitpur",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,14132,18049,19625,22419,-,-,-,15683
AI,OBC,Uttar Pradesh,"Auto. State Med Coll, Lalitpur",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,15852,19327,20480,-,-,-,-,16674
AI,SC,Uttar Pradesh,"Auto. State Med Coll, Lalitpur",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,84846,92657,107716,-,-,-,-,95676
AI,OBC-PwD,Uttar Pradesh,"Auto. State Med Coll, Lalitpur",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,-,723671,723671,-,-,-,-,-
AI,EWS,Uttar Pradesh,"Auto. State Med Coll, Lalitpur",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,-,-,-,-,-,-,-,18487
AI,ST,Uttar Pradesh,"Auto. State Med Coll, Lalitpur",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,-,-,-,-,-,-,-,112116
AI,Open,Uttar Pradesh,"Auto. State Med Coll, Pilibhit",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,14888,18036,18036,-,-,-,-,14571
AI,OBC,Uttar Pradesh,"Auto. State Med Coll, Pilibhit",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,15950,19034,19034,-,-,-,-,16994
AI,EWS,Uttar Pradesh,"Auto. State Med Coll, Pilibhit",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,15846,19421,20054,-,-,-,-,17471
AI,SC,Uttar Pradesh,"Auto. State Med Coll, Pilibhit",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,85485,104697,104697,-,-,-,-,89345
AI,ST,Uttar Pradesh,"Auto. State Med Coll, Pilibhit",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,121496,125331,133270,-,-,-,-,114856
AI,EWS-PwD,Uttar Pradesh,"Auto. State Med Coll, Pilibhit",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,878113,878113,878113,-,-,-,-,-
AI,Open,Uttar Pradesh,"Auto. State Med Coll, Sultanpur",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,14183,18304,19315,-,-,-,-,15600
AI,OBC,Uttar Pradesh,"Auto. State Med Coll, Sultanpur",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,15865,19331,20471,-,-,-,-,16796
AI,EWS,Uttar Pradesh,"Auto. State Med Coll, Sultanpur",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,17016,20267,21714,-,-,-,-,17806
AI,SC,Uttar Pradesh,"Auto. State Med Coll, Sultanpur",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,88411,100360,100360,-,-,-,-,92434
AI,ST,Uttar Pradesh,"Auto. State Med Coll, Sultanpur",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,128992,120055,131585,-,-,-,-,109960
AI,Open-PwD,Uttar Pradesh,"Auto. State Med Coll, Sultanpur",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,489456,272157,620436,504609,-,-,-,-
AI,SC-PwD,Uttar Pradesh,"Auto. State Med Coll, Sultanpur",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,1057792,739223,739223,-,-,-,-,-
AI,Open,Uttar Pradesh,"Auto. State MedColl, Kanpur Dehat",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,12841,16201,18820,-,-,-,-,13409
AI,OBC,Uttar Pradesh,"Auto. State MedColl, Kanpur Dehat",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,13241,17656,19160,-,-,-,-,14958
AI,SC,Uttar Pradesh,"Auto. State MedColl, Kanpur Dehat",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,72782,101822,104205,-,-,-,-,83177
AI,ST,Uttar Pradesh,"Auto. State MedColl, Kanpur Dehat",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,104489,121496,121496,-,-,-,-,96527
AI,EWS,Uttar Pradesh,"Auto. State MedColl, Kanpur Dehat",MBBS,"₹ 24,000",Info Not Available,2,"₹ 10,00,000","₹12,000",-,-,-,-,-,-,-,-,-,-,-,-,-,13411
AI,Open,Uttar Pradesh,"Auton. State Med Coll, Deoria",MBBS,"₹ 24,000",340,2,"₹ 10,00,000","₹12,000",11879,15146,15449,21524,-,-,11706,16908,17882,-,-,-,-,13815
